Data da busca,Perfil,Ranking interno,Ranking,Moeda,Símbolo,Preço,Market cap,Volume 24h,Variação 24h %,Variação 7d %,Variação 30d %,Score,Classificação,Tendência,Nível de risco,Selo de qualidade,Alertas de risco,Motivo,Resumo final
2026-05-11 12:38:28,Moderado,1,7,Solana,SOL,96.0489576835341,55505544956,3629623252.378226,1.7300000190734863,13.5,0,84.95,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,2,5,XRP,XRP,1.4815109570645406,91551784792,3393126403.1114182,0.3700000047683716,5.539999961853027,0,81.81,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,3,4,BNB,BNB,659.4479929210098,91784900922,992125395.0757048,0.5299999713897705,5.289999961853027,0,81.15,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,4,1,Bitcoin,BTC,81223.32464465742,1626738959070,27747374129.247414,-0.0099999997764825,1.1399999856948853,0,80.75,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,5,30,Sui,SUI,1.280625239872289,5129439860,2074141858.1009064,1.1100000143051147,37.310001373291016,0,78.91,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap relevante, volume muito forte, tendência neutra, forte valorização recente.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,6,13,Cardano,ADA,0.2827994182476264,10921889381,634112843.5147716,-0.3300000131130218,12.579999923706056,0,77.06,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,7,2,Ethereum,ETH,2328.15835202352,280371533398,16342347654.287674,-0.75,-1.2699999809265137,0,76.62,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,8,8,TRON,TRX,0.3510796070032946,30320392897,466103906.0205105,0.0299999993294477,3.150000095367432,0,75.4,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,9,17,Zcash,ZEC,555.6761349609258,9073229408,761794591.0399663,-6.28000020980835,34.59000015258789,0,73.67,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap relevante, bom volume, tendência neutra, forte valorização recente.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,10,23,Chainlink,LINK,10.542691379024523,6608685774,481737925.0222534,-1.2899999618530271,11.960000038146973,0,70.3,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap relevante, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,11,39,BitTensor,TAO,326.3669555262972,3132303918,292309614.8590311,0.9900000095367432,16.770000457763672,0,68.5,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,12,19,WETH,WETH,2328.2868267690146,8768086047,605658835.8809464,-0.75,-1.25,0,68.2,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,13,14,Wrapped Bitcoin,WBTC,80974.63865587451,10622091149,196822061.40269303,-0.0900000035762786,1.2100000381469729,0,67.03,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap alto, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,14,33,Avalanche,AVAX,10.222643577519973,4316769730,352830539.1456002,-0.1899999976158142,10.960000038146973,0,66.95,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
